Input_URL,Have_IP,URL_Length,TinyURL,Have_At,Redirection,Prefix/Suffix,https_Domain,URL_Depth,DNS_Record,Whois_Registered,Domain_Age,Page_Rank,status
https://uspszbpr.top/,0,21,0,0,0,0,0,3,1,0,20,0,1
https://new.express.adobe.com/webpage/6JQdVe9ypbMSv,0,51,0,0,0,0,0,4,0,0,13909,6,1
https://ohigfdgfdzsfxhghb.weebly.com/,0,37,0,0,0,0,0,3,1,0,6837,0,1
https://files-pdf-73j.pages.dev/?e=x,0,36,0,0,0,1,0,3,0,-1,-2,0,1
https://bit.ly/40bj0PJ,0,22,1,0,0,0,0,3,0,0,6056,9,1
https://nlb-racun.web.app/,0,26,0,0,0,1,0,3,1,-1,-2,0,1
https://whimsical.com/bt-voice-4xTtar7twR7BBTvfWGiUHG,0,53,0,0,0,0,0,3,0,0,9578,5,1
https://ipfs.best-practice.se/ipfs/QmXWReZVormmCatC8csP1KSaPY2NWegz63Fg6agdtgoLdg/,0,82,0,0,0,1,0,5,1,0,5301,3,1
https://qrco.de/bfE7Bg,0,22,0,0,0,0,0,3,0,0,-2,6,1
https://wetransfer-d7dfe.firebaseapp.com/,0,41,0,0,0,1,0,3,1,-1,-1,0,1
https://usps.com-tracktol.top/,0,30,0,0,0,1,0,3,1,0,26,0,1
https://l.ead.me/bfOdPk,0,23,0,0,0,0,0,3,1,0,3345,5,1
https://bit.ly/40Bbz6y,0,22,1,0,0,0,0,3,0,0,6056,9,1
https://rp.mockplus.com/run/N2AN5NsM7S/az6GWcores/H6Zmo98t6y?cps=hide,0,69,0,0,0,0,0,6,1,0,3980,4,1
https://l.ead.me/bfPiPd,0,23,0,0,0,0,0,3,1,0,3345,5,1
https://l.ead.me/bfJAIt?Hxu,0,27,0,0,0,0,0,3,1,0,3345,5,1
https://ewbgipostpots.ink/,0,26,0,0,0,0,0,3,0,0,34,0,1
https://pub-250afd200c994560b51514ad0ea5ea7b.r2.dev/gudreed.html,0,64,0,0,0,1,0,3,1,0,845,0,1
https://shrewsberry161.wixstudio.io/my-site,0,43,0,0,0,0,0,3,1,0,581,0,1
http://43.153.207.103/ServiceLogin?passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=107.178.200.216&amp;followup=https://accounts.google.com/?&amp;xrealip=107.178.200.216,1,192,0,0,1,0,1,9,1,-1,-1,0,1
https://inp0st.1002321.xyz/0bwzy837/OIXnuT/7,0,44,0,0,0,0,0,5,1,0,20,0,1
https://htlolls.top/,0,20,0,0,0,0,0,3,0,0,37,0,1
https://l.ead.me/bfX8P,0,22,0,0,0,0,0,3,1,0,3345,5,1
https://idhotl.top/,0,19,0,0,0,0,0,3,0,0,40,0,1
https://sxvfnity.crabdance.com/security-check/signin?verify=cr51_69376,0,70,0,0,0,0,0,4,1,0,6963,0,1
https://accounts.heudp.com/v3/signin/identifier?flowEntry=ServiceLogin&amp;flowName=GlifWebSignIn&amp;hl=en&amp;ifkv=ARpgrqd5S9U3OCUQI3T3Ez9NziSDbvcazWsIu_SnehEKOGzu2SYUZuu0WNg9hMtuJ6yBs-3ZbM-mhw&amp;dsh=S-181169907%3A1729545091807939&amp;ddm=0,0,244,0,0,0,0,0,5,1,0,79,0,1
